一	いち
珪肺症	けいはいしょう
珪藻	けいそう
珪藻土	けいそうど
珪質海綿	けいしつかいめん
珪酸	けいさん
珪酸ナトリウム	ケイさんナトリウム
班	はん
班員	はんいん
班次	はんじ
班田	はんでん
班長	はんちょう
現	げん
現す	あらわす
現ずる	げんずる
現つ	うつつ
現つを抜かす	うつつをぬかす
現に	げんに
現れ	あらわれ
現れる	あらわれる
現わす	あらわす
現われ	あらわれ
現われる	あらわれる
現われ出る	あらわれでる
現を抜かす	うつつをぬかす
現下	げんか
現世	げんせい
現世利益	げんせりやく
現今	げんこん
現代	げんだい
現代人	げんだいじん
現代仮名遣い	げんだいかなづかい
現代劇	げんだいげき
現代化	げんだいか
現代医療	げんだいいりょう
現代史	げんだいし
現代文明	げんだいぶんめい
現代新書	げんだいしんしょ
現代版	げんだいばん
現代的	げんだいてき
現代社会	げんだいしゃかい
現代科学	げんだいかがく
現代舞踊	げんだいぶよう
現代英語	げんだいえいご
現代詩	げんだいし
現代語	げんだいご
現代音楽	げんだいおんがく
現任	げんにん
現住所	げんじゅうしょ
現体制を覆す	げんたいせいをくつがえす
現価	げんか
現像	げんぞう
現像液	げんぞうえき
現先	げんさき
現先取引	げんさきとりひき
現内閣	げんないかく
現出	げんしゅつ
現前	げんぜん
現勢	げんせい
現品	げんぴん
現員	げんいん
現在	げんざい
現在のところ	げんざいのところ
現在世	げんざいせ
現在価値	げんざいかち
現在地	げんざいち
現在完了	げんざいかんりょう
現在完了時	げんざいかんりょうじ
現在戸籍	げんざいこせき
現在進行形	げんざいしんこうけい
現在高	げんざいだか
現地	げんち
現地人	げんちじん
現地到着	げんちとうちゃく
現地報告	げんちほうこく
現地時間	げんちじかん
現地法人	げんちほうじん
現地生産	げんちせいさん
現地着	げんちちゃく
現地調査	げんちちょうさ
現地調達	げんちちょうたつ
現地通貨	げんちつうか
現地駐在員	げんちちゅうざいいん
現場	げんば
現場中継	げんばちゅうけい
現場主義	げんばしゅぎ
現場到着	げんばとうちゃく
現場検証	げんばけんしょう
現場監督	げんばかんとく
現場着	げんばちゃく
現存	げんそん
現実	げんじつ
現実主義	げんじつしゅぎ
現実主義者	げんじつしゅぎしゃ
現実化	げんじつか
現実味	げんじつみ
現実性	げんじつせい
現実感	げんじつかん
現実的	げんじつてき
現実認識	げんじつにんしき
現実路線	げんじつろせん
現実離れ	げんじつばなれ
現尺	げんしゃく
現役	げんえき
現役合格	げんえきごうかく
現数	げんすう
現時代	げんじだい
現時点	げんじてん
現時点においては	げんじてんにおいては
現有	げんゆう
現有勢力	げんゆうせいりょく
現業	げんぎょう
現業員	げんぎょういん
現段階	げんだんかい
現況	げんきょう
現然	げんぜん
現物	げんぶつ
現物相場	げんぶつそうば
現物給与	げんぶつきゅうよ
現物給付	げんぶつきゅうふ
現状	げんじょう
現状否定	げんじょうひてい
現状打破	げんじょうだは
現状把握	げんじょうはあく
現状維持	げんじょういじ
現生	げんなま
現生生物学	げんせいせいぶつがく
現用	げんよう
現着	げんちゃく
現職	げんしょく
現職大統領	げんしょくだいとうりょう
現行	げんこう
現行法	げんこうほう
現行法規	げんこうほうき
現行犯	げんこうはん
現行犯で	げんこうはんで
現認	げんにん
現調	げんちょう
現象	げんしょう
現象学	げんしょうがく
現象界	げんしょうかい
現象論	げんしょうろん
現送	げんそう
現金	げんきん
現金及び預金	げんきんおよびよきん
現金収入	げんきんしゅうにゅう
現金取引市場	げんきんとりひきいちば
現金問屋	げんきんどんや
現金売り	げんきんうり
現金引き出し	げんきんひきだし
現金払い	げんきんばらい
現金投資	げんきんとうし
現金書留	げんきんかきとめ
現金正価	げんきんせいか
現金注入	げんきんちゅうにゅう
現金自動出入機	げんきんじどうしゅつにゅうき
現金自動支払機	げんきんじどうしはらいき
現金自動預け払い機	げんきんじどうあずけばらいき
現金自動預金支払機	げんきんじどうよきんしはらいき
現金買い	げんきんがい
現高	げんだか
球	きゅう
球乗り	たまのり
球体	きゅうたい
球団	きゅうだん
球場	きゅうじょう
球威	きゅうい
球威の有る投球	きゅういのあるとうきゅう
球宴	きゅうえん
球審	きゅうしん
球座標	きゅうざひょう
球形	きゅうけい
球形嚢	きゅうけいのう
球戯	きゅうぎ
球技	きゅうぎ
球拾い	たまひろい
球根	きゅうこん
球状	きゅうじょう
球状船首	きゅうじょうせんしゅ
球界	きゅうかい
球種	きゅうしゅ
球茎	きゅうけい
球茎甘藍	きゅうけいかんらん
球菌	きゅうきん
球速	きゅうそく
球電	きゅうでん
球面	きゅうめん
球面三角法	きゅうめんさんかくほう
球面幾何学	きゅうめんきかがく
球面鏡	きゅうめんきょう
理	り
理が非でも	りがひでも
理にかなう	りにかなう
理に落ちる	りにおちる
理に適う	りにかなう
理の有る	りのある
理不尽	りふじん
理事	りじ
理事会	りじかい
理事国	りじこく
理事長	りじちょう
理体	りたい
理化学	りかがく
理外	りがい
理外の理	りがいのり
理学	りがく
理学修士	りがくしゅうし
理学博士	りがくはかせ
理学療法士	りがくりょうほうし
理学部	りがくぶ
理容	りよう
理容室	りようしつ
理容師	りようし
理屈	りくつ
理屈っぽい	りくつっぽい
理屈屋	りくつや
理工	りこう
理工学部	りこうがくぶ
理工科	りこうか
理工系	りこうけい
理念	りねん
理念型	りねんけい
理念的	りねんてき
理性	りせい
理性に訴える	りせいにうったえる
理性のたが	りせいのたが
理性のタガ	りせいのたが
理性の箍	りせいのたが
理性的	りせいてき
理性論	りせいろん
理想	りそう
理想主義	りそうしゅぎ
理想化	りそうか
理想型	りそうけい
理想家	りそうか
理想的	りそうてき
理想的な言語使用者	りそうてきなげんごしようしゃ
理想論	りそうろん
理想郷	りそうきょう
理数	りすう
理法	りほう
理由	りゆう
理由をつける	りゆうをつける
理由を付ける	りゆうをつける
理由を尋ねる	りゆうをたずねる
理知	りち
理知的	りちてき
理神	りしん
理神論	りしんろん
理科	りか
理科大学	りかだいがく
理科離れ	りかばなれ
理窟	りくつ
理系	りけい
理解	りかい
理解し合う	りかいしあう
理解を深める	りかいをふかめる
理解力	りかいりょく
理解度	りかいど
理詰め	りづめ
理論	りろん
理論体系	りろんたいけい
理論化学	りろんかがく
理論家	りろんか
理論武装	りろんぶそう
理論物理学	りろんぶつりがく
理論的	りろんてき
理論的には	りろんてきには
理論闘争	りろんとうそう
理財	りざい
理財家	りざいか
理路	りろ
理路整然	りろせいぜん
理非	りひ
理非曲直	りひきょくちょく
理髪	りはつ
理髪室	りはつしつ
理髪師	りはつし
理髪店	りはつてん
琉球列島	りゅうきゅうれっとう
琉球語	りゅうきゅうご
琉球諸島	りゅうきゅうしょとう
琉球音階	りゅうきゅうおんかい
琉璃	るり
琢磨	たくま
琥珀	こはく
琥珀色	こはくいろ
琴	きん
琴一張	こといっちょう
琴座	ことざ
琴曲	きんきょく
琴柱	ことじ
琴爪	ことづめ
琴瑟相和	きんしつそうわ
琴瑟相和す	きんしつあいわす
琴線	きんせん
琵琶	びわ
琵琶湖	びわこ
琵琶笛	びやぼん
琵琶行	びわこう
琺瑯	ほうろう
瑁	ぼう
瑕	あら
瑕疵	かし
瑕疵担保責任	かしたんぽせきにん
瑞々しい	みずみずしい
瑞兆	ずいちょう
瑞典	すうぇーでん
瑞宝単光章	ずいほうたんこうしょう
瑞宝双光章	ずいほうそうこうしょう
瑞宝章	ずいほうしょう
瑞気	ずいき
瑞瑞しい	みずみずしい
瑞祥	ずいしょう
瑞穂の国	みずほのくに
瑞西	すいす
瑞雲	ずいうん
瑠璃	るり
瑠璃唐草	るりからくさ
瑠璃木葉鳥	るりこのはどり
瑠璃色	るりいろ
瑠璃虎の尾	るりとらのお
瑠璃野路子	るりのじこ
瑠璃鳥	るりちょう
瑠璃鶇	るりつぐみ
瑠璃鶲	るりびたき
瑣事	さじ
瑣末	さまつ
瑪瑙	めのう
瑶台	ようだい
瑶池	ようち
瑶緘	ようかん
瑶顔	ようがん
璦琿	あいぐん
環	たまき
環化	かんか
環境	かんきょう
環境づくり	かんきょうづくり
環境アセスメント	かんきょうアセスメント
環境グループ	かんきょうグループ
環境ストレス	かんきょうストレス
環境スワップ	かんきょうスワップ
環境デザイン	かんきょうデザイン
環境ホルモン	かんきょうホルモン
環境事業	かんきょうじぎょう
環境作り	かんきょうづくり
環境保全	かんきょうほぜん
環境保護	かんきょうほご
環境保護主義	かんきょうほごしゅぎ
環境保護主義者	かんきょうほごしゅぎしゃ
環境保護団体	かんきょうほごだんたい
環境保護論者	かんきょうほごろんしゃ
環境劣化	かんきょうれっか
環境問題	かんきょうもんだい
環境問題専門家	かんきょうもんだいせんもんか
環境基準	かんきょうきじゅん
環境変化	かんきょうへんか
環境大臣	かんきょうだいじん
環境庁	かんきょうちょう
環境庁長官	かんきょうちょうちょうかん
環境悪化	かんきょうあっか
環境政策	かんきょうせいさく
環境整備	かんきょうせいび
環境権	かんきょうけん
環境汚染	かんきょうおせん
環境法	かんきょうほう
環境法規	かんきょうほうき
環境活動家	かんきょうかつどうか
環境災害	かんきょうさいがい
環境理論	かんきょうりろん
環境省	かんきょうしょう
環境破壊	かんきょうはかい
環境衛生	かんきょうえいせい
環境規制	かんきょうきせい
環境設定	かんきょうせってい
環境調査	かんきょうちょうさ
環境造り	かんきょうづくり
環境配慮書	かんきょうはいりょしょ
環境難民	かんきょうなんみん
環太平洋	かんたいへいよう
環太平洋構想	かんたいへいようこうそう
環太平洋火山帯	かんたいへいようかざんたい
環太平洋諸国	かんたいへいようしょこく
環太平洋造山帯	かんたいへいようぞうざんたい
環式炭化水素	かんしきたんかすいそ
環形動物	かんけいどうぶつ
環指	かんし
環海	かんかい
環濠	かんごう
環状	かんじょう
環状星雲	かんじょうせいうん
環状線	かんじょうせん
環状軟骨	かんじょうなんこつ
環礁	かんしょう
環節	かんせつ
環視	かんし
璽	じ
璽書	じしょ
瓜	うり
瓜の蔓	うりのつる
瓜の蔓に茄子は生らぬ	うりのつるになすびはならぬ
瓜二つ	うりふたつ
瓜坊	うりぼう
瓜実顔	うりざねがお
瓜田	かでん
瓜田に履を納れず	かでんにくつをいれず
瓜田李下	かでんりか
瓜科	うりか
瓜羽虫	うりはむし
瓜金花虫	うりはむし
瓠	ひさご
瓢	ひさご
瓢箪	ひょうたん
瓢箪鯰	ひょうたんなまず
瓢虫	てんとうむし
瓦	かわら
瓦全	がぜん
瓦家	かわらや
瓦屋	かわらや
瓦屋根	かわらやね
瓦斯	がす
瓦煎餅	かわらせんべい
瓦版	かわらばん
瓦礫	がれき
瓦落多	がらくた
瓦葺	かわらぶき
瓦葺き	かわらぶき
瓦解	がかい
瓩	キログラム
瓩米	キログラムメートル
瓮	もたい
瓶	びん
瓶に詰める	びんにつめる
瓶の栓	びんのせん
瓶子	かめ
瓶詰	びんづめ
瓶詰め	びんづめ
甌穴	おうけつ
甍	いらか
甍段	いらかだん
甕	たしらか
甕菜	ようさい
甘い	うまい
甘いもの	あまいもの
甘いもの好き	あまいものずき
甘い小説	あまいしょうせつ
甘い料理	うまいりょうり
甘い汁を吸う	あまいしるをすう
甘い物	あまいもの
甘い物は別腹	あまいものはべつばら
甘い物好き	あまいものずき
甘い話	うまいはなし
甘え	あまえ
甘えた調子で	あまえたちょうしで
甘えっ子	あまえっこ
甘えび	あまえび
甘える	あまえる
甘えん坊	あまえんぼう
甘く見る	あまくみる
甘ずっぱい	あまずっぱい
甘たるい	あまったるい
甘ったるい	あまったるい
甘っちょろい	あまっちょろい
甘み	あまみ
甘やかして育てる	あまやかしてそだてる
甘やかす	あまやかす
甘んじる	あまんじる
甘ロリ	あまロリ
甘党	あまとう
甘受	かんじゅ
甘口	あまくち
甘口に乗る	あまくちにのる
甘味	あまみ
甘味料	かんみりょう
甘塩	あまじお
甘夏	あまなつ
甘夏柑	あまなつかん
甘夢	かんむ
甘子	あまご
甘干し	あまぼし
甘心	かんしん
甘柿	あまがき
甘栗	あまぐり
甘汞	かんこう
甘海老	あまえび
甘海苔	あまのり
甘煮	あまに
甘皮	あまかわ
甘納豆	あまなっとう
甘美	かんび
甘苦	かんく
甘茶	あまちゃ
甘茶蔓	あまちゃづる
甘草	かんぞう
甘菜	かんさい
甘蔗	かんしょ
甘薯	かんしょ
甘藍	かんらん
甘藷	かんしょ
甘藻	あまも
甘言	かんげん
甘言は偶人を喜ばす	かんげんはぐうじんをよろこばす
甘辛	あまから
甘辛い	あまからい
甘辛両刀	あまからりょうとう
甘酒	あまざけ
甘酢	あまず
甘酸	かんさん
甘酸っぱい	あまずっぱい
甘露	かんろ
甘露煮	かんろに
甘食	あましょく
甘鯛	あまだい
甘鷺	あまさぎ
甚く	いたく
甚だ	はなはだ
甚だしい	はなはだしい
甚だしい誤解	はなはだしいごかい
甚だ不親切である	はなはだふしんせつである
甚だ以て	はなはだもって
甚六	じんろく
甚兵衛	じんべえ
甚兵衛鮫	じんべえざめ
甚句	じんく
甚大	じんだい
甚平	じんべい
甚平鮫	じんべいざめ
甚振る	いたぶる
甜茶	てんちゃ
甜菜	てんさい
甜麺醤	テンメンジャン
生	せい
生々しい	なまなましい
生々世々	しょうじょうぜぜ
生々流転	しょうじょうるてん
生い先	おいさき
生い立ち	おいたち
生い茂る	おいしげる
生う	おう
生える	はえる
生え変わる	はえかわる
生え抜き	はえぬき
生え際	はえぎわ
生かす	いかす
生き	いき
生きがい	いきがい
生きた化石	いきたかせき
生きていかれない	いきていかれない
生きて行かれない	いきていかれない
生きて行く	いきていく
生きとし生けるもの	いきとしいけるもの
生きとし生ける物	いきとしいけるもの
生きのいい	いきのいい
生きる	いきる
生きる道	いきるみち
生き人形	いきにんぎょう
生き仏	いきぼとけ
生き体	いきたい
生き作り	いきづくり
生き写し	いきうつし
生き別れ	いきわかれ
生き地獄	いきじごく
生き埋め	いきうめ
生き埋める	いきうめる
生き字引	いきじびき
生き字引き	いきじびき
生き延びる	いきのびる
生き恥	いきはじ
生き恥をさらす	いきはじをさらす
生き抜く	いきぬく
生き方	いきかた
生き様	いきざま
生き死に	いきしに
生き残り	いきのこり
生き残る	いきのこる
生き物	いきもの
生き生き	いきいき
生き甲斐	いきがい
生き神	いきがみ
生き神様	いきがみさま
生き肝	いきぎも
生き胆	いきぎも
生き腐れ	いきぐされ
生き血	いきち
生き身	いきみ
生き返る	いきかえる
生き長らえる	いきながらえる
生き霊	いきりょう
生き餌	いきえ
生き馬	いきうま
生き馬の目を抜く	いきうまのめをぬく
生ける	いける
生ける屍	いけるしかばね
生け作り	いけづくり
生け垣	いけがき
生け捕り	いけどり
生け捕る	いけどる
生け擒	いけどり
生け方	いけかた
生け簀	いけす
生け花	いけばな
生け贄	いけにえ
生け間	いけま
生け魚	かつぎょ
生ごみ	なまごみ
生さぬ仲	なさぬなか
生じる	しょうじる
生す	なす
生ずる	しょうずる
生で食べる	なまでたべる
生で飲む	きでのむ
生ぬるい	なまぬるい
生のままで	きのままで
生の情報	なまのじょうほう
生まれ	うまれ
生まれた場所	うまれたばしょ
生まれつき	うまれつき
生まれつく	うまれつく
生まれて初めて	うまれてはじめて
生まれながら	うまれながら
生まれの良い	うまれのよい
生まれる	うまれる
生まれ乍ら	うまれながら
生まれ付き	うまれつき
生まれ付く	うまれつく
生まれ合わせる	うまれあわせる
生まれ変わり	うまれかわり
生まれ変わる	うまれかわる
生まれ損い	うまれそこない
生まれ故郷	うまれこきょう
生まれ立て	うまれたて
生まれ育つ	うまれそだつ
生まれ落ちる	うまれおちる
生み	うみ
生みつける	うみつける
生みの親	うみのおや
生み付ける	うみつける
生み出す	うみだす
生み落す	うみおとす
生み落とす	うみおとす
生む	うむ
生めかしい	なまめかしい
生もの	なまもの
生やす	はやす
生り	なり
生り年	なりどし
生り物	なりもの
生り節	なまりぶし
生る	なる
生れつき	うまれつき
生れながら	うまれながら
生れる	うまれる
生れ乍ら	うまれながら
生れ付く	うまれつく
生れ育つ	うまれそだつ
生を享ける	せいをうける
生ハム	なまハム
生ビール	なまビール
生ワク	なまワク
生ワクチン	なまワクチン
生一本	きいっぽん
生中継	なまちゅうけい
生乳	せいにゅう
生乾き	なまがわき
生体	せいたい
生体力学	せいたいりきがく
生体反応	せいたいはんのう
生体学	せいたいがく
生体工学	せいたいこうがく
生体組織	せいたいそしき
生体膜	せいたいまく
生体解剖	せいたいかいぼう
生保	せいほ
生傷	なまきず
生兵法	なまびょうほう
生別	せいべつ
生前	せいぜん
生剥	なまはげ
生剥げ	なまはげ
生動	せいどう
生化学	せいかがく
生半可	なまはんか
生協	せいきょう
生卵	なまたまご
生命	せいめい
生命体	せいめいたい
生命保険	せいめいほけん
生命保険会社	せいめいほけんがいしゃ
生命倫理	せいめいりんり
生命力	せいめいりょく
生命工学	せいめいこうがく
生命科学	せいめいかがく
生命維持装置	せいめいいじそうち
生命線	せいめいせん
生唾	なまつば
生噛じり	なまかじり
生国	しょうこく
生地	せいち
生地獄	いきじごく
生垣	いけがき
生壁	なまかべ
生姜	しょうが
生姜焼き	しょうがやき
生娘	きむすめ
生字引	いきじびき
生存	せいぞん
生存期間	せいぞんきかん
生存権	せいぞんけん
生存率	せいぞんりつ
生存競争	せいぞんきょうそう
生存者	せいぞんしゃ
生学問	なまがくもん
生害	しょうがい
生家	せいか
生干し	なまぼし
生年	せいねん
生年月日	せいねんがっぴ
生彩	せいさい
生後	せいご
生徒	せいと
生徒を帰す	せいとをかえす
生徒会	せいとかい
生徒指導	せいとしどう
生徒数	せいとすう
生得	せいとく
生得権	せいとくけん
生得的	せいとくてき
生得観念	せいとくかんねん
生息	せいそく
生息地	せいそくち
生意気	なまいき
生態	せいたい
生態学	せいたいがく
生態系	せいたいけい
生憎	あいにく
生成	せいせい
生成り	きなり
生成文法	せいせいぶんぽう
生技	せいぎ
生揚げ	なまあげ
生擒	せいきん
生放送	なまほうそう
生新	せいしん
生新しい	なまあたらしい
生易しい	なまやさしい
生暖かい	なまあたたかい
生有	しょうう
生木	なまき
生来	せいらい
生検	せいけん
生業	せいぎょう
生欠伸	なまあくび
生死	せいし
生死にかかわる問題	せいしにかかわるもんだい
生死の境	せいしのさかい
生死一如	せいしいちにょ
生死流転	しょうじるてん
生死輪廻	せいしりんね
生残	せいざん
生残者	せいぞんしゃ
生殖	せいしょく
生殖器	せいしょくき
生殖細胞	せいしょくさいぼう
生殖腺	せいしょくせん
生殖腺刺激ホルモン	せいしょくせんしげきホルモン
生殖補助技術	せいしょくほじょぎじゅつ
生殺し	なまごろし
生殺与奪	せいさつよだつ
生母	せいぼ
生気	せいき
生気溌剌	せいきはつらつ
生水	なまみず
生没年	せいぼつねん
生活	せいかつ
生活に困る	せいかつにこまる
生活の資	せいかつのし
生活スタイル	せいかつスタイル
生活不安	せいかつふあん
生活保護	せいかつほご
生活保護法	せいかつほごほう
生活信条	せいかつしんじょう
生活力	せいかつりょく
生活協同組合	せいかつきょうどうくみあい
生活反応	せいかつはんのう
生活圏	せいかつけん
生活必需品	せいかつひつじゅひん
生活扶助	せいかつふじょ
生活指導	せいかつしどう
生活振り	せいかつぶり
生活様式	せいかつようしき
生活残業	せいかつざんぎょう
生活水準	せいかつすいじゅん
生活法	せいかつほう
生活環	せいかつかん
生活環境	せいかつかんきょう
生活空間	せいかつくうかん
生活習慣病	せいかつしゅうかんやまい
生活者	せいかつしゃ
生活苦	せいかつく
生活設計	せいかつせっけい
生活費	せいかつひ
生活難	せいかつなん
生涯	しょうがい
生涯学習	しょうがいがくしゅう
生涯教育	しょうがいきょういく
生温い	なまぬるい
生滅	しょうめつ
生漆	きうるし
生演奏	なまえんそう
生焼け	なまやけ
生煮え	なまにえ
生爪	なまづめ
生物	なまもの
生物兵器	せいぶつへいき
生物分解	せいぶつぶんかい
生物化学	せいぶつかがく
生物化学兵器	せいぶつかがくへいき
生物化学的酸素要求量	せいぶつかがくてきさんそようきゅうりょう
生物圏	せいぶつけん
生物地理学	せいぶつちりがく
生物多様性	せいぶつたようせい
生物学	せいぶつがく
生物学主義	せいぶつがくしゅぎ
生物学者	せいぶつがくしゃ
生物工学	せいぶつこうがく
生物情報学	せいぶつじょうほうがく
生物戦	せいぶつせん
生物濃縮	せいぶつのうしゅく
生物物理学	せいぶつぶつりがく
生物界	せいぶつかい
生理	せいり
生理不順	せいりふじゅん
生理休暇	せいりきゅうか
生理学	せいりがく
生理日	せいりび
生理機能	せいりきのう
生理活性物質	せいりかっせいぶっしつ
生理痛	せいりつう
生理的	せいりてき
生理的食塩水	せいりてきしょくえんすい
生生	せいせい
生生しい	なまなましい
生生世世	しょうじょうぜぜ
生生流転	しょうじょうるてん
生産	せいざん
生産ライン	せいさんライン
生産児	せいざんじ
生産力	せいさんりょく
生産地	せいさんち
生産奨励	せいさんしょうれい
生産性	せいさんせい
生産技術	せいさんぎじゅつ
生産拠点	せいさんきょてん
生産物	せいさんぶつ
生産率	せいざんりつ
生産目標	せいさんもくひょう
生産管理	せいさんかんり
生産組合	せいさんくみあい
生産者	せいさんしゃ
生産者余剰	せいさんしゃよじょう
生産者価格	せいさんしゃかかく
生産者物価指数	せいさんしゃぶっかしすう
生産能力	せいさんのうりょく
生産能力過剰	せいさんのうりょくかじょう
生産要素	せいさんようそ
生産計画	せいさんけいかく
生産設備	せいさんせつび
生産財	せいさんざい
生産費	せいさんひ
生産過剰	せいさんかじょう
生産量	せいさんりょう
生産関数	せいさんかんすう
生産額	せいさんがく
生産高	せいさんだか
生番組	なまばんぐみ
生痕	せいこん
生痕化石	せいこんかせき
生白い	なまじろい
生皮	なまかわ
生直ぐ	きすぐ
生真面目	きまじめ
生石灰	せいせっかい
生硬	せいこう
生禽	せいきん
生管	せいかん
生節	なまぶし
生簀	いけす
生米	なまごめ
生粋	きっすい
生糸	きいと
生紙	きがみ
生絹	すずし
生老病死	しょうろうびょうし
生者	しょうじゃ
生者必滅	しょうじゃひつめつ
生聞き	なまぎき
生肉	せいにく
生育	せいいく
生臭い	なまぐさい
生臭坊主	なまぐさぼうず
生臭物	なまぐさもの
生色	せいしょく
生花	いけばな
生茹で	なまゆで
生菌ワクチン	せいきんワクチン
生菓子	なまがし
生蕃	せいばん
生蕎麦	きそば
生薑	しょうが
生薬	しょうやく
生蝋	きろう
生血	なまち
生計	せいけい
生計を立てる	せいけいをたてる
生計費	せいけいひ
生計費指数	せいけいひしすう
生誕	せいたん
生誕百年	せいたんひゃくねん
生贄	いけにえ
生起	せいき
生足	なまあし
生身	なまみ
生返る	いきかえる
生返事	なまへんじ
生還	せいかん
生還者	せいかんしゃ
生酒	きざけ
生酔い	なまよい
生醤油	きじょうゆ
生野菜	なまやさい
生録	なまろく
生長	せいちょう
生長ホルモン	せいちょうホルモン
生面	せいめん
生類	しょうるい
生食	せいしょく
生飲み込み	なまのみこみ
生餌	いきえ
生首	なまくび
生魚	せいぎょ
生鮮	せいせん
生鮮料品	せいせんりょうひん
生鮮食料品	せいせんしょくりょうひん
生麩	なまふ
生齧り	なまかじり
産	さん
産まず女	うまずめ
産み	うみ
産みつける	うみつける
産み付ける	うみつける
産み出す	うみだす
産み月	うみづき
産み落とす	うみおとす
産む	うむ
産む機械	うむきかい
産を成す	さんをなす
産休	さんきゅう
産児	さんじ
産児制限	さんじせいげん
産出	さんしゅつ
産出目標	さんしゅつもくひょう
産出高	さんしゅつだか
産別	さんべつ
産別会議	さんべつかいぎ
産制	さんせい
産前	さんぜん
産前産後	さんぜんさんご
産卵	さんらん
産卵口	さんらんこう
産卵場所	さんらんばしょ
産卵期	さんらんき
産卵管	さんらんかん
産品	さんぴん
産土神	うぶすながみ
産地	さんち
産声	うぶごえ
産婆	さんば
産婆術	さんばじゅつ
産婦	さんぷ
産婦人科	さんふじんか
産婦人科医	さんふじんかい
産学協同	さんがくきょうどう
産学協同体	さんがくきょうどうたい
産学官	さんがくかん
産室	さんしつ
産屋	うぶや
産廃	さんぱい
産後	さんご
産業	さんぎょう
産業スパイ	さんぎょうスパイ
産業予備軍	さんぎょうよびぐん
産業再生	さんぎょうさいせい
産業別組合	さんぎょうべつくみあい
産業廃棄物	さんぎょうはいきぶつ
産業政策	さんぎょうせいさく
産業構造	さんぎょうこうぞう
産業機械	さんぎょうきかい
産業環境管理協会	さんぎょうかんきょうかんりきょうかい
産業界	さんぎょうかい
産業社会	さんぎょうしゃかい
産業組合	さんぎょうくみあい
産業組織	さんぎょうそしき
産業資本	さんぎょうしほん
産業連関分析	さんぎょうれんかんぶんせき
産業連関表	さんぎょうれんかんひょう
産業革命	さんぎょうかくめい
産毛	うぶげ
産気	さんけ
産気付く	さんけづく
産油国	さんゆこく
産湯	うぶゆ
産物	さんぶつ
産環協	さんかんきょう
産生	さんせい
産痛	さんつう
産着	うぶぎ
産科	さんか
産科医	さんかい
産科医師	さんかいし
産科医療	さんかいりょう
産科学	さんかがく
産経新聞	さんけいしんぶん
産褥	さんじょく
産褥期	さんじょくき
産褥熱	さんじょくねつ
産軍複合体	さんぐんふくごうたい
産道	さんどう
産量	さんりょう
産金	さんきん
産院	さんいん
産額	さんがく
甥	おい
甥っ子	おいっこ
甥子	おいっこ
甥御	おいご
甦	よみがえ
甦える	よみがえる
甦る	よみがえる
甦生	そせい
用	よう
用いる	もちいる
用が有る	ようがある
用が足せる	ようがたせる
用に立つ	ようにたつ
用に足りない	ようにたりない
用を足す	ようをたす
用不用説	ようふようせつ
用事	ようじ
用事と遊びを兼ねて	ようじとあそびをかねて
用人	ようにん
用件	ようけん
用例	ようれい
用便	ようべん
用兵	ようへい
用兵術	ようへいじゅつ
用具	ようぐ
用務	ようむ
用務員	ようむいん
用向き	ようむき
用命	ようめい
用品	ようひん
用器	ようき
用器画	ようきが
用地	ようち
用字	ようじ
用度	ようど
用役	ようえき
用心	ようじん
用心して	ようじんして
用心するに如くはない	ようじんするにしくはない
用心堅固	ようじんけんご
用心棒	ようじんぼう
用心深い	ようじんぶかい
用意	ようい
用意に掛かる	よういにかかる
用意万端	よういばんたん
用意周到	よういしゅうとう
用捨	ようしゃ
用材	ようざい
用水	ようすい
用水地	ようすいいけ
用水堀	ようすいぼり
用水池	ようすいち
用水路	ようすいろ
用法	ようほう
用済み	ようずみ
用無し	ようなし
用益	ようえき
用益権	ようえきけん
用益物権	ようえきぶっけん
用立てる	ようだてる
用筆	ようひつ
用箋	ようせん
用箪笥	ようだんす
用紙	ようし
用紙送り	ようしおくり
用船	ようせん
用言	ようげん
用語	ようご
用語法	ようごほう
用語集	ようごしゅう
用談	ようだん
用足し	ようたし
用途	ようと
用途が広い	ようとがひろい
用達	ようたつ
用達し	ようたし
用量	ようりょう
用金	ようきん
田	た
田の神	たのかみ
田ぼ	たんぼ
田を打つ	たをうつ
田んぼ	たんぼ
田作	でんさく
田作り	たづくり
田偏	たへん
田圃	たんぼ
田園	でんえん
田園詩	でんえんし
田園詩人	でんえんしじん
田園都市	でんえんとし
田園都市開発	でんえんとしかいはつ
田園風景	でんえんふうけい
田地	でんち
田夫	でんぷ
田夫野人	でんぷやじん
田家	でんか
田打ち	たうち
田植	たうえ
田植え	たうえ
田植え歌	たうえうた
田植え祭	たうえまつり
田植え祭り	たうえまつり
田植え踊り	たうえおどり
田植踊	たうえおどり
田楽	でんがく
田楽刺し	でんがくざし
田楽法師	でんがくほうし
田楽焼	でんがくやき
田楽焼き	でんがくやき
田楽豆腐	でんがくどうふ
田楽返し	でんがくがえし
田沼時代	たぬまじだい
田畑	たはた
田畝	たんぼ
田畠	たはた
田租	でんそ
田紳	でんしん
田舎	いなか
田舎っ兵衛	いなかっぺえ
田舎侍	いなかざむらい
田舎兵衛	いなかっぺえ
田舎回り	いなかまわり
田舎大尽	いなかだいじん
田舎娘	いなかむすめ
田舎家	いなかや
田舎気質	いなかかたぎ
田舎者	いなかもの
田舎育ち	いなかそだち
田舎芝居	いなかしばい
田舎訛り	いなかなまり
田舎道	いなかみち
田舎風	いなかふう
