一	いち
一日を過ごす	いちにちをすごす
一日一善	いちにちいちぜん
一日一夜	いちにちいちや
一日一日	いちにちいちにち
一日三秋	いちじつさんしゅう
一日中	いちにちじゅう
一日二日	いちにちふつか
一日千秋	いちじつせんしゅう
一日増しに	いちにちましに
一日片時	いちにちへんじ
一日置き	いちにちおき
一日路	いちにちじ
一旦	いったん
一旦緩急	いったんかんきゅう
一旬	いちじゅん
一昔	ひとむかし
一昔前	ひとむかしまえ
一昨	いっさく
一昨々夜	いっさくさくや
一昨々年	さきおととし
一昨々日	いっさくさくじつ
一昨々月	いっさくさくげつ
一昨夜	いっさくや
一昨年	いっさくねん
一昨年辺り	いっさくねんあたり
一昨日	いっさくじつ
一昨日来やがれ	おとといきやがれ
一昨昨夜	いっさくさくや
一昨昨年	さきおととし
一昨昨日	いっさくさくじつ
一昨昨月	いっさくさくげつ
一昨晩	いっさくばん
一昼夜	いっちゅうや
一時	いちじ
一時に	いちどきに
一時停止	いちじていし
一時凌ぎ	いちじしのぎ
一時帰休	いちじききゅう
一時帰休制	いちじききゅうせい
一時所得	いちじしょとく
一時払	いちじばらい
一時払い	いちじばらい
一時期	いちじき
一時的	いちじてき
一時解雇	いちじかいこ
一時賜金	いちじしきん
一時逃れ	いちじのがれ
一時金	いちじきん
一時間	いちじかん
一時間以内	いちじかんいない
一時預かり	いちじあずかり
一時預け	いちじあずけ
一時預所	いちじあずかりしょ
一晩	ひとばん
一晩中	ひとばんじゅう
一暴十寒	いちばくじっかん
一曲	いっきょく
一更	いっこう
一書	いっしょ
一曹	いっそう
一月	ひとつき
一服	いっぷく
一服休憩	いっぷくきゅうけい
一服盛る	いっぷくもる
一服飲む	いっぷくのむ
一望	いちぼう
一望千里	いちぼうせんり
一朝	いっちょう
一朝一夕	いっちょういっせき
一朝一夕に	いっちょういっせきに
一朝有事	いっちょうゆうじ
一期	いっき
一期一会	いちごいちえ
一期末代	いちごまつだい
一木	いちぼく
一木一草	いちぼくいっそう
一本	いっぽん
一本勝負	いっぽんしょうぶ
